Step,Episode,Reward,CumulativeReward
14,1,97.34193,0
14,2,66.23663,0
16,3,61.50958,0
16,4,70.31249,0
17,5,45,0
15,6,62.5,0
16,7,50,0
16,8,66.66666,0
16,9,49.99998,0
15,10,75,0
17,11,60.00004,0
16,12,50,0
16,13,74.99989,0
17,14,66.66666,0
15,15,75,0
14,16,75,0
16,17,50,0
16,18,62.5,0
16,19,75,0
14,20,50,0
17,21,75,0
16,22,50,0
13,23,66.66666,0
17,24,62.5,0
16,25,50,0
15,26,66.66666,0
16,27,62.5,0
17,28,50,0
15,29,66.66666,0
17,30,62.5,0
15,31,50,0
16,32,66.66666,0
17,33,50,0
15,34,75,0
16,35,66.66666,0
15,36,50,0
16,37,75,0
16,38,50,0
17,39,62.5,0
16,40,50,0
19,41,68.18166,0
18,42,62.5,0
15,43,75,0
15,44,50,0
16,45,75,0
16,46,50,0
15,47,50,0
17,48,62.5,0
15,49,75,0
15,50,66.66666,0
15,51,62.5,0
16,52,50,0
16,53,66.66666,0
16,54,62.5,0
16,55,50,0
16,56,60.00014,0
16,57,50,0
17,58,50,0
16,59,66.66666,0
15,60,62.5,0
15,61,59.99971,0
16,62,50,0
16,63,62.5,0
16,64,75,0
17,65,66.66666,0
11,66,54.54552,0
16,67,50,0
16,68,66.66666,0
16,69,62.49981,0
17,70,75,0
16,71,66.66666,0
16,72,50,0
15,73,75,0
16,74,50,0
16,75,62.5,0
18,76,56.25034,0
16,77,66.66666,0
17,78,75,0
15,79,50,0
16,80,50,0
16,81,50,0
16,82,50,0
17,83,66.66666,0
16,84,50,0
16,85,75,0
16,86,50,0
16,87,75,0
10,88,59.99971,0
19,89,60.00014,0
17,90,50,0
15,91,50,0
16,92,66.66666,0
16,93,62.5,0
15,94,50,0
17,95,66.66666,0
16,96,62.5,0
15,97,75,0
17,98,66.66666,0
16,99,62.5,0
15,100,75,0
17,101,66.66666,0
16,102,50,0
16,103,75,0
18,104,50,0
16,105,62.5,0
14,106,75,0
16,107,50,0
17,108,62.5,0
15,109,75,0
16,110,50,0
15,111,54.54533,0
12,112,50,0
19,113,66.66666,0
17,114,50,0
12,115,50,0
19,116,59.99971,0
19,117,62.5,0
12,118,50,0
18,119,60.00014,0
19,120,50,0
12,121,75,0
17,122,50,0
18,123,62.5,0
10,124,75,0
19,125,50,0
18,126,62.5,0
10,127,75,0
18,128,66.66666,0
20,129,62.5,0
10,130,50,0
17,131,50,0
20,132,62.5,0
11,133,75,0
15,134,50,0
22,135,50,0
12,136,75,0
15,137,66.66721,0
